budget,id,original_language,original_title,popularity,production_companies,release_date,revenue,runtime,status,title,vote_average,vote_count,release_year,release_month,log_budget,log_revenue,is_english,log_vote_count,log_popularity,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Otro,Romance,Science_Fiction,TV_Movie,Thriller,War,Western,productoras_limpias,compania_principal,compania_principal_agrupadas2
200000000,558,en,Spider-Man 2,35.149586,"Columbia Pictures, Laura Ziskin Productions, Marvel Enterprises",2004-06-25,783766341,127.0,Released,Spider-Man 2,6.7,4321,2004.0,6.0,19.11382792951231,20.47962150073071,1,8.371473537066832,3.587665496257038,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Laura Ziskin Productions, Sony Pictures, Marvel Studios",Sony Pictures,Sony Pictures
200000000,68721,en,Iron Man 3,77.68208,Marvel Studios,2013-04-18,1215439994,130.0,Released,Iron Man 3,6.8,8806,2013.0,4.0,19.11382792951231,20.91837198398605,1,9.08330213880546,4.365415429368683,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Marvel Studios,Marvel Studios,0_Otros
200000000,12155,en,Alice in Wonderland,78.530105,"Walt Disney Pictures, Team Todd, Tim Burton Productions, Roth Films, Zanuck Company, The",2010-03-03,1025491110,108.0,Released,Alice in Wonderland,6.4,4645,2010.0,3.0,19.11382792951231,20.748437467472296,1,8.443761913330354,4.376135629224679,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Team Todd, Disney, Roth Films, Tim Burton Productions, Zanuck Company",Disney,Disney
210000000,36668,en,X-Men: The Last Stand,3.857526,"Ingenious Film Partners, Twentieth Century Fox Film Corporation, Donners' Company, Dune Entertainment, Major Studio Partners, Bad Hat Harry Productions, thinkfilm, Marvel Enterprises, X3 Canada Productions, X3US Productions, XM3 Service",2006-05-24,459359555,104.0,Released,X-Men: The Last Stand,6.3,3525,2006.0,5.0,19.162618093443648,19.94534380777439,1,8.167919362957816,1.58052925480274,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"X3US Productions, X3 Canada Productions, 20th Century Fox, Dune Entertainment, Ingenious Film Partners, thinkfilm, Donners' Company, Bad Hat Harry Productions, Marvel Studios, XM3 Service, Major Studio Partners",Ingenious Film Partners,Ingenious Film Partners
200000000,62211,en,Monsters University,89.186492,"Walt Disney Pictures, Pixar Animation Studios",2013-06-20,743559607,104.0,Released,Monsters University,7.0,3528,2013.0,6.0,19.11382792951231,20.426959492809576,1,8.16876982367527,4.501879659756453,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pixar Animation Studios, Disney",Disney,Disney
150000000,8373,en,Transformers: Revenge of the Fallen,21.939663,"Paramount Pictures, DreamWorks SKG, Amblin Entertainment, Di Bonaventura Pictures, Platinum Dunes, Hasbro Studios, Revolution Sun Studios",2009-06-19,836297228,150.0,Released,Transformers: Revenge of the Fallen,6.0,3138,2009.0,6.0,18.826145858727198,20.544494644941985,1,8.051659556841953,3.13286742109637,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Amblin Entertainment, Dune Entertainment, Hasbro Studios, Revolution Sun Studios, Di Bonaventura Pictures, DreamWorks Pictures, Paramount Pictures",Paramount Pictures,Paramount Pictures
210000000,91314,en,Transformers: Age of Extinction,116.840296,"Paramount Pictures, Amblin Entertainment, Di Bonaventura Pictures, Platinum Dunes, China Movie Channel, Hasbro Studios, Ian Bryce Productions, Revolution Sun Studios",2014-06-25,1091405097,165.0,Released,Transformers: Age of Extinction,5.8,3095,2014.0,6.0,19.162618093443648,20.810731783770184,1,8.037866234709618,4.769330284031736,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Amblin Entertainment, Dune Entertainment, Hasbro Studios, Ian Bryce Productions, Revolution Sun Studios, Di Bonaventura Pictures, China Movie Channel, Paramount Pictures",Paramount Pictures,Paramount Pictures
200000000,68728,en,Oz: The Great and Powerful,46.985445,"Walt Disney Pictures, Roth Films",2013-03-07,491868548,130.0,Released,Oz: The Great and Powerful,5.7,3530,2013.0,3.0,19.11382792951231,20.013722061929226,1,8.169336395928386,3.8708977357579646,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Disney, Roth Films",Disney,Disney
200000000,102382,en,The Amazing Spider-Man 2,89.270217,"Columbia Pictures, Marvel Enterprises, Avi Arad Productions, Matt Tolmach Productions",2014-04-16,705717432,142.0,Released,The Amazing Spider-Man 2,6.5,4179,2014.0,4.0,19.11382792951231,20.374725478797583,1,8.338066525518801,4.502807583206587,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Avi Arad Productions, Sony Pictures, Marvel Studios, Matt Tolmach Productions",Sony Pictures,Sony Pictures
170000000,20526,en,TRON: Legacy,73.79505,"Walt Disney Pictures, LivePlanet, Prana Studios, Sean Bailey Productions, Revolution Sun Studios, Kontsept Film Company",2010-12-10,400062763,125.0,Released,TRON: Legacy,6.3,2841,2010.0,12.0,18.951309000896888,19.80713200276317,1,7.952263308657046,4.314751706320084,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sean Bailey Productions, Kontsept Film Company, Prana Studios, Disney, LivePlanet, Revolution Sun Studios",Disney,Disney
200000000,49013,en,Cars 2,49.98659,"Walt Disney Pictures, Pixar Animation Studios",2011-06-11,559852396,106.0,Released,Cars 2,5.8,2033,2011.0,6.0,19.11382792951231,20.14318373016529,1,7.617759576608505,3.9315626569727633,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pixar Animation Studios, Disney",Disney,Disney
200000000,44912,en,Green Lantern,51.872839,"De Line Pictures, Warner Bros., DC Entertainment",2011-06-16,219851172,114.0,Released,Green Lantern,5.1,2487,2011.0,6.0,19.11382792951231,19.208461389032852,1,7.81923445385907,3.9678897665548822,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"De Line Pictures, DC Entertainment, Warner Bros",De Line Pictures,0_Otros
200000000,10193,en,Toy Story 3,59.995418,"Walt Disney Pictures, Pixar Animation Studios",2010-06-16,1066969703,103.0,Released,Toy Story 3,7.6,4597,2010.0,6.0,19.11382792951231,20.78808841523593,1,8.433376705323127,4.1107987465979585,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pixar Animation Studios, Disney",Disney,Disney
200000000,534,en,Terminator Salvation,71.862892,"Columbia Pictures, The Halcyon Company, Wonderland Sound and Vision, Warner Bros.",2009-05-20,371353001,115.0,Released,Terminator Salvation,5.9,2463,2009.0,5.0,19.11382792951231,19.732663656064677,1,7.80954132465341,4.288579483353765,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"The Halcyon Company, Wonderland Sound and Vision, Sony Pictures, Warner Bros",Sony Pictures,Sony Pictures
190000000,168259,en,Furious 7,102.322217,"Universal Pictures, Original Film, Fuji Television Network, Dentsu, One Race Films, China Film Co., Québec Production Services Tax Credit, Media Rights Capital (MRC), Abu Dhabi Film Commission, Colorado Office of Film, Television & Media",2015-04-01,1506249360,137.0,Released,Furious 7,7.3,4176,2015.0,4.0,19.06253463538792,21.132888530970785,1,8.337348564497175,4.637852425604862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Abu Dhabi Film Commission, Dentsu, Fuji Television Network, Québec Production Services Tax Credit, Universal Pictures, Media Rights Capital (MRC), One Race Films, Colorado Office of Film, Television & Media, Original Film, China Film Co.",Universal Pictures,Universal Pictures
200000000,72190,en,World War Z,81.834855,"Paramount Pictures, GK Films, Skydance Productions, Hemisphere Media Capital, Apparatus Productions, Latina Pictures, 2DUX²",2013-06-20,531865000,116.0,Released,World War Z,6.7,5560,2013.0,6.0,19.11382792951231,20.091900257585234,1,8.623533227187563,4.416848926921172,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,"Latina Pictures, Paramount Pictures, 2DUX², Hemisphere Media Capital, Apparatus Productions, Skydance Productions, GK Films",Paramount Pictures,Paramount Pictures
250000000,127585,en,X-Men: Days of Future Past,118.078691,"Twentieth Century Fox Film Corporation, Donners' Company, Marvel Entertainment, Bad Hat Harry Productions, TSG Entertainment, Down Productions, Revolution Sun Studios",2014-05-15,747862775,131.0,Released,X-Men: Days of Future Past,7.5,6032,2014.0,5.0,19.33697147982652,20.432730064563454,1,8.704999678440762,4.779784543477146,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"20th Century Fox, Donners' Company, Bad Hat Harry Productions, Revolution Sun Studios, Marvel Studios, TSG Entertainment, Down Productions",20th Century Fox,20th Century Fox
190000000,54138,en,Star Trek Into Darkness,78.291018,"Paramount Pictures, Skydance Productions, Bad Robot, Kurtzman/Orci",2013-05-05,467365246,132.0,Released,Star Trek Into Darkness,7.4,4418,2013.0,5.0,19.06253463538792,19.96262162343216,1,8.39366870513074,4.373124856147531,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Skydance Productions, Bad Robot, Kurtzman/Orci, Paramount Pictures",Paramount Pictures,Paramount Pictures
195000000,81005,en,Jack the Giant Slayer,43.349855,"New Line Cinema, Original Film, Legendary Pictures, Warner Bros., Big Kid Pictures, Bad Hat Harry Productions",2013-02-27,197687603,114.0,Released,Jack the Giant Slayer,5.5,2598,2013.0,2.0,19.088510121656228,19.102198585112838,1,7.8628820346414905,3.7921094393026675,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Warner Bros, New Line Cinema, Bad Hat Harry Productions, Big Kid Pictures, Original Film, Legendary Pictures",New Line Cinema,New Line Cinema
105000000,64682,en,The Great Gatsby,61.196071,"Village Roadshow Pictures, Bazmark Films, Warner Bros., A&E Television Networks, Red Wagon Entertainment, Spectrum Films",2013-05-10,351040419,143.0,Released,The Great Gatsby,7.3,3769,2013.0,5.0,18.46947091764561,19.676411931495274,1,8.234830280442056,4.13029183054743,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Red Wagon Entertainment, Spectrum Films, Bazmark Films, A&E Television Networks, Warner Bros, Village Roadshow Pictures",Village Roadshow Pictures,Village Roadshow Pictures
150000000,9543,en,Prince of Persia: The Sands of Time,62.169881,"Walt Disney Pictures, Jerry Bruckheimer Films",2010-05-19,335154643,116.0,Released,Prince of Persia: The Sands of Time,6.2,2317,2010.0,5.0,18.826145858727198,19.630102607154413,1,7.748460023899697,4.145827621103231,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"Jerry Bruckheimer Films, Disney",Disney,Disney
180000000,68726,en,Pacific Rim,56.523205,"Legendary Pictures, Warner Bros., Disney Double Dare You (DDY), Indochina Productions",2013-07-11,407602906,131.0,Released,Pacific Rim,6.7,4794,2013.0,7.0,19.00846741441004,19.82580399127956,1,8.475328987317539,4.052188431610156,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Indochina Productions, Legendary Pictures, Disney, Warner Bros",Legendary Pictures,0_Otros
195000000,38356,en,Transformers: Dark of the Moon,28.529607,"Paramount Pictures, Di Bonaventura Pictures, Indochina Productions, Hasbro Studios",2011-06-28,1123746996,154.0,Released,Transformers: Dark of the Moon,6.1,3299,2011.0,6.0,19.088510121656228,20.839934471443975,1,8.101677747454572,3.3853933871674418,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Indochina Productions, Di Bonaventura Pictures, Hasbro Studios, Paramount Pictures",Paramount Pictures,Paramount Pictures
185000000,217,en,Indiana Jones and the Kingdom of the Crystal Skull,75.674458,"Lucasfilm, Paramount Pictures",2008-05-21,786636033,122.0,Released,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,2008.0,5.0,19.035866388448003,20.48327622672714,1,7.822444729489319,4.339568641178461,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lucasfilm, Paramount Pictures",Lucasfilm,0_Otros
175000000,105864,en,The Good Dinosaur,51.692953,"Walt Disney Pictures, Pixar Animation Studios",2015-11-14,331926147,93.0,Released,The Good Dinosaur,6.6,1736,2015.0,11.0,18.980296537602072,19.620423056352898,1,7.459914766241105,3.9644817274410267,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pixar Animation Studios, Disney",Disney,Disney
185000000,62177,en,Brave,125.114374,"Walt Disney Pictures, Pixar Animation Studios",2012-06-21,538983207,93.0,Released,Brave,6.7,4641,2012.0,6.0,19.035866388448003,20.105194974399108,1,8.442900586834382,4.837189225372334,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Pixar Animation Studios, Disney",Disney,Disney
185000000,188927,en,Star Trek Beyond,65.352913,"Paramount Pictures, Bad Robot, Perfect Storm Entertainment, Alibaba Pictures Group, Skydance Media, Sneaky Shark, Huahua Media",2016-07-07,343471816,122.0,Released,Star Trek Beyond,6.6,2568,2016.0,7.0,19.035866388448003,19.654615619681344,1,7.851271997109883,4.194987663356308,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sneaky Shark, Bad Robot, Huahua Media, Skydance Media, Perfect Storm Entertainment, Alibaba Pictures Group, Paramount Pictures",Paramount Pictures,Paramount Pictures
